n=1 in 6.508827209472656e-05s: det(A)=1.0 (actual: 1.0; err: 0.0; rel err: 0.0)
n=2 in 0.00012922286987304688s: det(A)=-0.26794919243112325 (actual: -0.2679491924311231; err: 1.6653345369377348e-16; rel err: -6.215113103450807e-16)
n=3 in 0.00011897087097167969s: det(A)=0.002653939633918066 (actual: 0.002653939633918138; err: 7.19910242530375e-17; rel err: 2.7126097117270787e-14)
n=4 in 0.00020122528076171875s: det(A)=-1.4131681203784309e-06 (actual: -1.4131681203819082e-06; err: -3.4772820067157165e-18; rel err: 2.4606286800299333e-12)
n=5 in 0.0003032684326171875s: det(A)=4.372040095356283e-11 (actual: 4.372040095371976e-11; err: 1.5693167183779472e-22; rel err: 3.5894380750056426e-12)
n=6 in 0.0004260540008544922s: det(A)=-8.095587862322418e-17 (actual: -8.095587855693022e-17; err: 6.6293959952269e-26; rel err: -8.188900069270376e-10)
n=7 in 0.0006551742553710938s: det(A)=9.103606569492404e-24 (actual: 9.103606622275781e-24; err: 5.278337711860672e-32; rel err: 5.798073149321953e-09)
n=8 in 0.0007622241973876953s: det(A)=-6.268508085217963e-32 (actual: -6.26851150838106e-32; err: -3.4231630965099393e-38; rel err: 5.460886674505004e-07)
n=9 in 0.0009601116180419922s: det(A)=2.6567197505650853e-41 (actual: 2.65668876939539e-41; err: -3.0981169695128444e-46; rel err: -1.1661572876742782e-05)
n=10 in 0.001180887222290039s: det(A)=-6.952054489144957e-52 (actual: -6.942483872183575e-52; err: 9.570616961382518e-55; rel err: -0.0013785580402612204)
n=11 in 0.0014770030975341797s: det(A)=9.558856057998702e-64 (actual: 9.7826699036564e-64; err: 2.2381384565769703e-65; rel err: 0.022878605519955623)
n=12 in 0.0018057823181152344s: det(A)=1.0265827480768104e-75 (actual: 8.396055584379772e-76; err: -1.8697718963883323e-76; rel err: -0.22269646473838287)
n=13 in 0.0026209354400634766s: det(A)=-3.7315938597835904e-88 (actual: -5.158717625137226e-88; err: -1.4271237653536353e-88; rel err: 0.27664312510527705)
n=14 in 0.0030951499938964844s: det(A)=2.5680048730618657e-101 (actual: 1.1270939563313196e-100; err: 8.702934690251331e-101; rel err: 0.7721569831302532)
n=15 in 0.0029730796813964844s: det(A)=1.9724132828362128e-113 (actual: 3.121623416729616e-113; err: 1.149210133893403e-113; rel err: 0.36814502599335913)
n=16 in 0.0033490657806396484s: det(A)=-4.192874088179407e-126 (actual: -1.9002711520505397e-126; err: 2.2926029361288673e-126; rel err: -1.2064609482993893)
n=17 in 0.004379987716674805s: det(A)=2.9904843122495522e-139 (actual: 3.6547486035860174e-140; err: -2.6250094518909504e-139; rel err: -7.182462425227571)
n=18 in 0.004790067672729492s: det(A)=-6.405045382682356e-152 (actual: -8.753988014455654e-154; err: 6.317505502537799e-152; rel err: -72.16717103228338)
n=19 in 0.004467010498046875s: det(A)=2.0372252727422793e-164 (actual: -1.0240184386150509e-165; err: -2.1396271166037842e-164; rel err: 20.894419826048786)
n=20 in 0.004891872406005859s: det(A)=-3.4069571559254487e-177 (actual: 3.309477141035852e-179; err: 3.4400519273358074e-177; rel err: 103.94548083384211)
n=21 in 0.005569934844970703s: det(A)=1.7627277246383873e-189 (actual: 8.096433603144267e-192; err: -1.754631291035243e-189; rel err: -216.7165664588206)
n=22 in 0.0059070587158203125s: det(A)=-2.2650322855990116e-202 (actual: -9.155500777591925e-205; err: 2.2558767848214195e-202; rel err: -246.39578321512187)
n=23 in 0.0065419673919677734s: det(A)=9.701047026393107e-216 (actual: -5.494386284599675e-219; err: -9.706541412677707e-216; rel err: 1766.6288662456016)
